Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,,,2026-05-28,2026-06-15 06:56 CEST,BIS,https://data.bis.org/topics/RPP/data?q=Australia&selected_ts=BIS%2CWS_DPP%2C1.0%255EQ.AU.2.1.0.2.6.0&ccId=,https://data.bis.org/topics/RPP/data?q=Australia&selected_ts=BIS%2CWS_DPP%2C1.0%255EQ.AU.2.1.0.2.6.0&ccId=&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/RPP

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,COVERED_AREA:Covered area,RE_TYPE:Real estate type,RE_VINTAGE:Real estate vintage,COMPILING_ORG:Compiling agency,PRICED_UNIT:Priced unit,ADJUST_CODED:Seasonal adjustment,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2010-09-30,F:Free,,A:Normal value,105.5949
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2010-12-31,F:Free,,A:Normal value,104.6711
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2011-03-31,F:Free,,A:Normal value,104.9473
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2011-06-30,F:Free,,A:Normal value,104.9127
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2011-09-30,F:Free,,A:Normal value,104.228
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2011-12-31,F:Free,,A:Normal value,103.3953
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2012-03-31,F:Free,,A:Normal value,104.0449
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2012-06-30,F:Free,,A:Normal value,104.7905
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2012-09-30,F:Free,,A:Normal value,105.5863
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2012-12-31,F:Free,,A:Normal value,106.9796
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2013-03-31,F:Free,,A:Normal value,109.0915
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2013-06-30,F:Free,,A:Normal value,112.1517
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2013-09-30,F:Free,,A:Normal value,116.2785
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2013-12-31,F:Free,,A:Normal value,121.5321
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2014-03-31,F:Free,,A:Normal value,126.1078
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2014-06-30,F:Free,,A:Normal value,129.4823
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2014-09-30,F:Free,,A:Normal value,133.341
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2014-12-31,F:Free,,A:Normal value,137.3727
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2015-03-31,F:Free,,A:Normal value,142.7722
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2015-06-30,F:Free,,A:Normal value,152.6437
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2015-09-30,F:Free,,A:Normal value,158.8843
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2015-12-31,F:Free,,A:Normal value,156.358
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2016-03-31,F:Free,,A:Normal value,154.3463
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2016-06-30,F:Free,,A:Normal value,156.76
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2016-09-30,F:Free,,A:Normal value,164.7572
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2016-12-31,F:Free,,A:Normal value,172.3211
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2017-03-31,F:Free,,A:Normal value,179.0356
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2017-06-30,F:Free,,A:Normal value,182.2496
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2017-09-30,F:Free,,A:Normal value,181.4828
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2017-12-31,F:Free,,A:Normal value,177.6469
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2018-03-31,F:Free,,A:Normal value,176.8587
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2018-06-30,F:Free,,A:Normal value,173.6416
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2018-09-30,F:Free,,A:Normal value,170.4921
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2018-12-31,F:Free,,A:Normal value,163.1116
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2019-03-31,F:Free,,A:Normal value,159.337
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2019-06-30,F:Free,,A:Normal value,159.7074
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2019-09-30,F:Free,,A:Normal value,168.3291
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2019-12-31,F:Free,,A:Normal value,177.9021
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2020-03-31,F:Free,,A:Normal value,183.2092
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2020-06-30,F:Free,,A:Normal value,177.926
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2020-09-30,F:Free,,A:Normal value,177.687
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2020-12-31,F:Free,,A:Normal value,182.6306
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2021-03-31,F:Free,,A:Normal value,198.4256
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2021-06-30,F:Free,,A:Normal value,213.9481
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2021-09-30,F:Free,,A:Normal value,225.5198
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2021-12-31,F:Free,,A:Normal value,231.6894
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2022-03-31,F:Free,,A:Normal value,231.3995
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2022-06-30,F:Free,,A:Normal value,222.9602
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2022-09-30,F:Free,,A:Normal value,210.5467
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2022-12-31,F:Free,,A:Normal value,205.3858
"BIS,WS_DPP,1.0",Q.AU.2.1.0.2.6.0,Q:Quarterly,AU:Australia,2:Capital city/biggest city/financial center,1:All types of dwellings,0:All,2:Private sector,6:Pure price,0:Non seasonally adjusted,"Index, 2009 December = 100",Units,2023-03-31,F:Free,,A:Normal value,209.5958
